i,size,capacity
199000,199001,262144
200000,200001,262144
201000,201001,262144
202000,202001,262144
203000,203001,262144
204000,204001,262144
205000,205001,262144
206000,206001,262144
207000,207001,262144
208000,208001,262144
209000,209001,262144
210000,210001,262144
211000,211001,262144
212000,212001,262144
213000,213001,262144
214000,214001,262144
215000,215001,262144
216000,216001,262144
217000,217001,262144
218000,218001,262144
219000,219001,262144
220000,220001,262144
221000,221001,262144
222000,222001,262144
223000,223001,262144
224000,224001,262144
225000,225001,262144
226000,226001,262144
227000,227001,262144
228000,228001,262144
229000,229001,262144
230000,230001,262144
231000,231001,262144
232000,232001,262144
233000,233001,262144
234000,234001,262144
235000,235001,262144
236000,236001,262144
237000,237001,262144
238000,238001,262144
239000,239001,262144
240000,240001,262144
241000,241001,262144
242000,242001,262144
243000,243001,262144
244000,244001,262144
245000,245001,262144
246000,246001,262144
247000,247001,262144
248000,248001,262144
249000,249001,262144
250000,250001,262144
251000,251001,262144
252000,252001,262144
253000,253001,262144
254000,254001,262144
255000,255001,262144
256000,256001,262144
257000,257001,262144
258000,258001,262144
259000,259001,262144
260000,260001,262144
261000,261001,262144
262000,262001,262144
262144,262145,524288
263000,263001,524288
264000,264001,524288
265000,265001,524288
266000,266001,524288
267000,267001,524288
268000,268001,524288
269000,269001,524288
270000,270001,524288
271000,271001,524288
272000,272001,524288
273000,273001,524288
274000,274001,524288
275000,275001,524288
276000,276001,524288
277000,277001,524288
278000,278001,524288
279000,279001,524288
280000,280001,524288
281000,281001,524288
282000,282001,524288
283000,283001,524288
284000,284001,524288
285000,285001,524288
286000,286001,524288
287000,287001,524288
288000,288001,524288
289000,289001,524288
290000,290001,524288
291000,291001,524288
292000,292001,524288
293000,293001,524288
294000,294001,524288
295000,295001,524288
296000,296001,524288
297000,297001,524288
298000,298001,524288
299000,299001,524288
300000,300001,524288
301000,301001,524288
302000,302001,524288
303000,303001,524288
304000,304001,524288
305000,305001,524288
306000,306001,524288
307000,307001,524288
308000,308001,524288
309000,309001,524288
310000,310001,524288
311000,311001,524288
312000,312001,524288
313000,313001,524288
314000,314001,524288
315000,315001,524288
316000,316001,524288
317000,317001,524288
318000,318001,524288
319000,319001,524288
320000,320001,524288
321000,321001,524288
322000,322001,524288
323000,323001,524288
324000,324001,524288
325000,325001,524288
326000,326001,524288
327000,327001,524288
328000,328001,524288
329000,329001,524288
330000,330001,524288
331000,331001,524288
332000,332001,524288
333000,333001,524288
334000,334001,524288
335000,335001,524288
336000,336001,524288
337000,337001,524288
338000,338001,524288
339000,339001,524288
340000,340001,524288
341000,341001,524288
342000,342001,524288
343000,343001,524288
344000,344001,524288
345000,345001,524288
346000,346001,524288
347000,347001,524288
348000,348001,524288
349000,349001,524288
350000,350001,524288
351000,351001,524288
352000,352001,524288
353000,353001,524288
354000,354001,524288
355000,355001,524288
356000,356001,524288
357000,357001,524288
358000,358001,524288
359000,359001,524288
360000,360001,524288
361000,361001,524288
362000,362001,524288
363000,363001,524288
364000,364001,524288
365000,365001,524288
366000,366001,524288
367000,367001,524288
368000,368001,524288
369000,369001,524288
370000,370001,524288
371000,371001,524288
372000,372001,524288
373000,373001,524288
374000,374001,524288
375000,375001,524288
376000,376001,524288
377000,377001,524288
378000,378001,524288
379000,379001,524288
380000,380001,524288
381000,381001,524288
382000,382001,524288
383000,383001,524288
384000,384001,524288
385000,385001,524288
386000,386001,524288
387000,387001,524288
388000,388001,524288
389000,389001,524288
390000,390001,524288
391000,391001,524288
392000,392001,524288
393000,393001,524288
394000,394001,524288
395000,395001,524288
396000,396001,524288
397000,397001,524288
398000,398001,524288
399000,399001,524288
400000,400001,524288
401000,401001,524288
402000,402001,524288
403000,403001,524288
404000,404001,524288
405000,405001,524288
406000,406001,524288
407000,407001,524288
408000,408001,524288
409000,409001,524288
410000,410001,524288
411000,411001,524288
412000,412001,524288
413000,413001,524288
414000,414001,524288
415000,415001,524288
416000,416001,524288
417000,417001,524288
418000,418001,524288
419000,419001,524288
420000,420001,524288
421000,421001,524288
422000,422001,524288
423000,423001,524288
424000,424001,524288
425000,425001,524288
426000,426001,524288
427000,427001,524288
428000,428001,524288
429000,429001,524288
430000,430001,524288
431000,431001,524288
432000,432001,524288
433000,433001,524288
434000,434001,524288
435000,435001,524288
436000,436001,524288
437000,437001,524288
438000,438001,524288
439000,439001,524288
440000,440001,524288
441000,441001,524288
442000,442001,524288
443000,443001,524288
444000,444001,524288
445000,445001,524288
446000,446001,524288
447000,447001,524288
448000,448001,524288
449000,449001,524288
450000,450001,524288
451000,451001,524288
452000,452001,524288
453000,453001,524288
454000,454001,524288
455000,455001,524288
456000,456001,524288
457000,457001,524288
458000,458001,524288
459000,459001,524288
460000,460001,524288
461000,461001,524288
462000,462001,524288
463000,463001,524288
464000,464001,524288
465000,465001,524288
466000,466001,524288
467000,467001,524288
468000,468001,524288
469000,469001,524288
470000,470001,524288
471000,471001,524288
472000,472001,524288
473000,473001,524288
474000,474001,524288
475000,475001,524288
476000,476001,524288
477000,477001,524288
478000,478001,524288
479000,479001,524288
480000,480001,524288
481000,481001,524288
482000,482001,524288
483000,483001,524288
484000,484001,524288
485000,485001,524288
486000,486001,524288
487000,487001,524288
488000,488001,524288
489000,489001,524288
490000,490001,524288
491000,491001,524288
492000,492001,524288
493000,493001,524288
494000,494001,524288
495000,495001,524288
496000,496001,524288
497000,497001,524288
498000,498001,524288
499000,499001,524288
500000,500001,524288
501000,501001,524288
502000,502001,524288
503000,503001,524288
504000,504001,524288
505000,505001,524288
506000,506001,524288
507000,507001,524288
508000,508001,524288
509000,509001,524288
510000,510001,524288
511000,511001,524288
512000,512001,524288
513000,513001,524288
514000,514001,524288
515000,515001,524288
516000,516001,524288
517000,517001,524288
518000,518001,524288
519000,519001,524288
520000,520001,524288
521000,521001,524288
522000,522001,524288
523000,523001,524288
524000,524001,524288
524288,524289,1048576
525000,525001,1048576
526000,526001,1048576
527000,527001,1048576
528000,528001,1048576
529000,529001,1048576
530000,530001,1048576
531000,531001,1048576
532000,532001,1048576
533000,533001,1048576
534000,534001,1048576
535000,535001,1048576
536000,536001,1048576
537000,537001,1048576
538000,538001,1048576
539000,539001,1048576
540000,540001,1048576
541000,541001,1048576
542000,542001,1048576
543000,543001,1048576
544000,544001,1048576
545000,545001,1048576
546000,546001,1048576
547000,547001,1048576
548000,548001,1048576
549000,549001,1048576
550000,550001,1048576
551000,551001,1048576
552000,552001,1048576
553000,553001,1048576
554000,554001,1048576
555000,555001,1048576
556000,556001,1048576
557000,557001,1048576
558000,558001,1048576
559000,559001,1048576
560000,560001,1048576
561000,561001,1048576
562000,562001,1048576
563000,563001,1048576
564000,564001,1048576
565000,565001,1048576
566000,566001,1048576
567000,567001,1048576
568000,568001,1048576
569000,569001,1048576
570000,570001,1048576
571000,571001,1048576
572000,572001,1048576
573000,573001,1048576
574000,574001,1048576
575000,575001,1048576
576000,576001,1048576
577000,577001,1048576
578000,578001,1048576
579000,579001,1048576
580000,580001,1048576
581000,581001,1048576
582000,582001,1048576
