algorithm,initial_data,array_size,time_ns
insertion_sort,best,11000,14700
insertion_sort,average,11000,10161500
insertion_sort,worst,11000,23173400
selection_sort,best,11000,141442700
selection_sort,average,11000,140829400
selection_sort,worst,11000,141456400
merge_sort,best,11000,407200
merge_sort,average,11000,1006100
merge_sort,worst,11000,407000
quick_sort,best,11000,48701200
quick_sort,average,11000,669400
quick_sort,worst,11000,21979700
heap_sort,best,11000,601800
heap_sort,average,11000,641900
heap_sort,worst,11000,767400
bubble_sort,best,12000,27765700
bubble_sort,average,12000,59033900
bubble_sort,worst,12000,45236900
insertion_sort,best,12000,15100
insertion_sort,average,12000,13211300
insertion_sort,worst,12000,24806100
selection_sort,best,12000,168461900
selection_sort,average,12000,170043100
selection_sort,worst,12000,171645300
merge_sort,best,12000,350100
merge_sort,average,12000,896300
merge_sort,worst,12000,460900
quick_sort,best,12000,51525000
quick_sort,average,12000,718100
quick_sort,worst,12000,33147200
heap_sort,best,12000,785500
heap_sort,average,12000,838100
heap_sort,worst,12000,735400
bubble_sort,best,13000,26040400
bubble_sort,average,13000,69817700
bubble_sort,worst,13000,51638200
insertion_sort,best,13000,9500
insertion_sort,average,13000,13289000
insertion_sort,worst,13000,34200000
selection_sort,best,13000,195803900
selection_sort,average,13000,195649900
selection_sort,worst,13000,203206900
merge_sort,best,13000,330200
merge_sort,average,13000,1151600
merge_sort,worst,13000,329200
quick_sort,best,13000,58875400
quick_sort,average,13000,845800
quick_sort,worst,13000,28043100
heap_sort,best,13000,970200
heap_sort,average,13000,716500
heap_sort,worst,13000,787200
bubble_sort,best,14000,33842400
bubble_sort,average,14000,78878400
bubble_sort,worst,14000,62868200
insertion_sort,best,14000,10200
insertion_sort,average,14000,15864900
insertion_sort,worst,14000,72021700
selection_sort,best,14000,228533300
selection_sort,average,14000,231307200
selection_sort,worst,14000,232167800
merge_sort,best,14000,436800
merge_sort,average,14000,1125800
merge_sort,worst,14000,621100
quick_sort,best,14000,61213500
quick_sort,average,14000,697800
