data_type,n,Left,Right,Mid
float,1069,-0.00046735,0.000468115,-2.28484e-07
double,1175,-0.000425411,0.000425653,-6.03591e-08
float,1175,-0.00042521,0.000425855,-7.94729e-08
double,1292,-0.000386897,0.000387097,-4.99222e-08
float,1292,-0.000386973,0.000387023,-4.96705e-08
double,1421,-0.000351782,0.000351947,-4.12696e-08
float,1421,-0.000351717,0.000352005,9.93411e-09
double,1563,-0.000319829,0.000319966,-3.41115e-08
float,1563,-0.000319858,0.000319938,-1.39077e-07
double,1719,-0.00029081,0.000290923,-2.82012e-08
float,1719,-0.000290712,0.00029103,9.93411e-08
double,1890,-0.000264504,0.000264597,-2.33289e-08
float,1890,-0.000264277,0.000264833,9.93411e-08
double,2079,-0.000240462,0.000240539,-1.92801e-08
float,2079,-0.000240435,0.000240574,9.93411e-08
double,2286,-0.000218691,0.000218755,-1.59465e-08
float,2286,-0.000218739,0.000218699,9.93411e-08
double,2514,-0.00019886,0.000198913,-1.31852e-08
float,2514,-0.000198921,0.000198851,-1.98682e-08
double,2765,-0.00018081,0.000180854,-1.09e-08
float,2765,-0.00018098,0.000180672,-1.6888e-07
double,3041,-0.000164402,0.000164438,-9.01127e-09
float,3041,-0.000164707,0.000164131,6.95387e-08
double,3345,-0.000149462,0.000149492,-7.44778e-09
float,3345,-0.000149598,0.000149349,-2.58287e-07
double,3679,-0.000135894,0.000135919,-6.15686e-09
float,3679,-0.000135918,0.000135909,-1.6888e-07
double,4046,-0.000123569,0.000123589,-5.09058e-09
float,4046,-0.000123878,0.000123272,-2.28484e-07
double,4450,-0.000112351,0.000112368,-4.20822e-09
float,4450,-0.000112643,0.000112067,-1.6888e-07
double,4895,-0.000102138,0.000102152,-3.47787e-09
float,4895,-0.000102093,0.000102202,-1.09275e-07
double,5384,-9.2862e-05,9.28735e-05,-2.87481e-09
float,5384,-9.27647e-05,9.29634e-05,2.78155e-07
double,5922,-8.44262e-05,8.44357e-05,-2.37619e-09
float,5922,-8.45989e-05,8.42611e-05,-1.98682e-08
double,6514,-7.67538e-05,7.67617e-05,-1.96392e-09
float,6514,-7.67012e-05,7.68105e-05,9.93411e-09
double,7165,-6.97804e-05,6.97869e-05,-1.62325e-09
float,7165,-6.99063e-05,6.9658e-05,-1.98682e-08
double,7881,-6.3441e-05,6.34464e-05,-1.3417e-09
float,7881,-6.40055e-05,6.28928e-05,1.32124e-06
double,8669,-5.76746e-05,5.7679e-05,-1.10887e-09
float,8669,-5.76576e-05,5.77072e-05,9.93411e-09
double,9535,-5.24366e-05,5.24402e-05,-9.16594e-10
float,9535,-5.24422e-05,5.24322e-05,-7.94729e-08
double,10488,-4.7672e-05,4.7675e-05,-7.57588e-10
float,10488,-4.80612e-05,4.72764e-05,2.78155e-07
double,11536,-4.33413e-05,4.33438e-05,-6.26192e-10
float,11536,-4.33226e-05,4.33723e-05,-1.6888e-07
double,12689,-3.94032e-05,3.94052e-05,-5.17565e-10
float,12689,-3.91205e-05,3.96768e-05,-3.47694e-07
double,13957,-3.58235e-05,3.58252e-05,-4.27794e-10
float,13957,-3.60509e-05,3.55939e-05,-7.94729e-08
double,15352,-3.25683e-05,3.25698e-05,-3.53582e-10
float,15352,-3.27726e-05,3.23753e-05,5.16574e-07
double,16887,-2.9608e-05,2.96092e-05,-2.92224e-10
float,16887,-2.99116e-05,2.93056e-05,4.86771e-07
double,18575,-2.69174e-05,2.69184e-05,-2.41524e-10
float,18575,-2.68122e-05,2.70108e-05,-3.47694e-07
double,20432,-2.4471e-05,2.44718e-05,-1.99617e-10
